Order_ID,Product_Category,Country,Quantity,Delivery_Time_Days,Column1,Customer_Rating,Year, Unit_Price_USD ,Order_Amount,Return_Rate_%
1,Beauty & Health,South Africa,7,1,6.43,4,2019,$9 ,$63 ,6.43%
2,Sports & Outdoors,Brazil,4,12,4.58,4.8,2025,$621 ,"$2,484 ",4.58%
3,Home & Kitchen,South Africa,6,2,8.65,4.9,2021,$357 ,"$2,142 ",8.65%
4,Sports & Outdoors,France,8,10,9.26,2.7,2015,$415 ,"$3,320 ",9.26%
5,Sports & Outdoors,China,6,8,0.24,4.8,2012,$865 ,"$5,190 ",0.24%
6,Clothing,Nigeria,2,2,0.52,1.1,2020,$136 ,$272 ,0.52%
7,Home & Kitchen,Germany,1,11,9.59,4,2024,$347 ,$347 ,9.59%
8,Home & Kitchen,France,8,2,2.77,3.6,2017,$369 ,"$2,952 ",2.77%
9,Home & Kitchen,France,8,11,8.73,2,2025,$61 ,$488 ,8.73%
10,Sports & Outdoors,Germany,9,11,3.89,3,2017,$866 ,"$7,794 ",3.89%
11,Beauty & Health,Brazil,6,10,1.19,1.5,2012,$39 ,$234 ,1.19%
12,Home & Kitchen,Nigeria,1,10,0.8,4.5,2021,$130 ,$130 ,0.80%
13,Sports & Outdoors,Nigeria,9,8,1.57,2.4,2018,$422 ,"$3,798 ",1.57%
14,Clothing,India,3,12,2.5,3.5,2019,$88 ,$264 ,2.50%
15,Beauty & Health,South Africa,6,6,4.89,1.6,2022,$67 ,$402 ,4.89%
16,Clothing,France,10,12,7.01,1.8,2014,$124 ,"$1,240 ",7.01%
17,Beauty & Health,France,10,11,9.86,5,2025,$12 ,$120 ,9.86%
18,Sports & Outdoors,Egypt,9,4,4.42,4,2019,$42 ,$378 ,4.42%
19,Electronics,Kenya,3,3,5.18,4.8,2018,"$1,904 ","$5,712 ",5.18%
20,Beauty & Health,France,5,1,5.22,2.2,2016,$27 ,$135 ,5.22%
21,Clothing,UK,5,11,5.39,1.7,2024,$40 ,$200 ,5.39%
22,Sports & Outdoors,Kenya,10,3,5.18,3,2024,$433 ,"$4,330 ",5.18%
23,Beauty & Health,UK,7,12,0.09,3,2024,$46 ,$322 ,0.09%
24,Electronics,Nigeria,4,14,0.02,1.7,2019,$741 ,"$2,964 ",0.02%
25,Electronics,Kenya,4,9,0.98,3.9,2012,"$1,532 ","$6,128 ",0.98%
26,Home & Kitchen,France,7,5,1.02,2.4,2015,$171 ,"$1,197 ",1.02%
27,Home & Kitchen,Germany,9,13,7.05,1.7,2019,$36 ,$324 ,7.05%
28,Clothing,South Africa,4,6,2.05,2.3,2011,$135 ,$540 ,2.05%
29,Beauty & Health,UK,4,5,8.95,3.3,2015,$23 ,$92 ,8.95%
30,Beauty & Health,India,6,1,9.29,3.9,2021,$77 ,$462 ,9.29%
31,Home & Kitchen,Kenya,6,10,9.76,2.9,2014,$183 ,"$1,098 ",9.76%
32,Beauty & Health,France,7,1,9.39,3.1,2025,$42 ,$294 ,9.39%
33,Beauty & Health,Kenya,1,4,2.72,1.6,2022,$33 ,$33 ,2.72%
34,Electronics,France,3,3,5.1,4.7,2025,$429 ,"$1,287 ",5.10%
35,Home & Kitchen,France,9,11,1.75,4.7,2012,$36 ,$324 ,1.75%
36,Sports & Outdoors,France,6,8,8.06,3.7,2023,$491 ,"$2,946 ",8.06%
37,Home & Kitchen,Egypt,6,12,8.88,1.1,2024,$278 ,"$1,668 ",8.88%
38,Sports & Outdoors,South Africa,5,12,8.51,3.1,2016,$322 ,"$1,610 ",8.51%
39,Electronics,Germany,3,7,4.33,3.5,2020,"$1,001 ","$3,003 ",4.33%
40,Clothing,Germany,5,11,7.59,5,2013,$16 ,$80 ,7.59%
41,Beauty & Health,Kenya,1,7,0.98,5,2020,$88 ,$88 ,0.98%
42,Electronics,Kenya,3,8,0.4,4.4,2023,"$1,588 ","$4,764 ",0.40%
43,Beauty & Health,France,4,14,7.53,1.3,2015,$40 ,$160 ,7.53%
44,Clothing,Egypt,5,10,4.25,4.8,2018,$145 ,$725 ,4.25%
45,Clothing,France,10,7,9.96,3.5,2021,$97 ,$970 ,9.96%
46,Electronics,Egypt,9,10,0.97,4.2,2023,"$1,425 ","$12,825 ",0.97%
47,Clothing,France,4,2,8.56,2.6,2015,$73 ,$292 ,8.56%
48,Sports & Outdoors,UK,3,4,4.8,2.3,2013,$946 ,"$2,838 ",4.80%
49,Clothing,UK,10,11,8.27,2.9,2024,$32 ,$320 ,8.27%
50,Beauty & Health,Nigeria,1,6,8.17,1.6,2019,$65 ,$65 ,8.17%
51,Beauty & Health,France,10,3,9.16,2.4,2024,$85 ,$850 ,9.16%
52,Beauty & Health,South Africa,6,3,2.98,4.4,2011,$54 ,$324 ,2.98%
53,Beauty & Health,India,7,6,9.5,1.2,2018,$50 ,$350 ,9.50%
54,Sports & Outdoors,Nigeria,10,1,1.52,1.6,2024,$491 ,"$4,910 ",1.52%
55,Home & Kitchen,Kenya,8,14,0.82,1.5,2023,$313 ,"$2,504 ",0.82%
56,Electronics,Brazil,1,1,4.32,2.6,2013,$493 ,$493 ,4.32%
57,Beauty & Health,France,4,5,8.28,5,2013,$99 ,$396 ,8.28%
58,Clothing,China,5,1,4.73,1.7,2025,$157 ,$785 ,4.73%
59,Beauty & Health,UK,2,10,8.29,1.6,2011,$20 ,$40 ,8.29%
60,Clothing,Brazil,1,8,7.3,4.7,2024,$12 ,$12 ,7.30%
61,Clothing,Egypt,8,2,2.09,4.5,2014,$39 ,$312 ,2.09%
62,Beauty & Health,Brazil,6,6,9.49,1.1,2022,$22 ,$132 ,9.49%
63,Sports & Outdoors,South Africa,5,10,0.61,4,2015,$206 ,"$1,030 ",0.61%
64,Clothing,France,9,10,8.98,3.6,2019,$44 ,$396 ,8.98%
65,Clothing,Germany,2,5,3.04,4.1,2015,$156 ,$312 ,3.04%
66,Beauty & Health,Brazil,10,10,5,3,2012,$30 ,$300 ,5.00%
67,Clothing,Germany,8,12,4.22,5,2021,$44 ,$352 ,4.22%
68,Clothing,Egypt,10,12,1.72,1.2,2024,$85 ,$850 ,1.72%
69,Beauty & Health,Nigeria,9,4,3.58,1.9,2024,$76 ,$684 ,3.58%
70,Beauty & Health,Germany,1,1,1.93,2.6,2023,$61 ,$61 ,1.93%
71,Electronics,Nigeria,7,14,2.04,2.8,2018,"$1,992 ","$13,944 ",2.04%
72,Sports & Outdoors,UK,8,14,1.87,4.7,2016,$324 ,"$2,592 ",1.87%
73,Sports & Outdoors,India,3,3,4.89,3.2,2022,$541 ,"$1,623 ",4.89%
74,Clothing,France,4,13,7.98,1.2,2023,$114 ,$456 ,7.98%
75,Sports & Outdoors,Brazil,3,12,5.69,2.6,2012,$256 ,$768 ,5.69%
76,Clothing,UK,7,4,8.93,2.7,2013,$166 ,"$1,162 ",8.93%
77,Electronics,UK,9,2,6.37,4.9,2025,$322 ,"$2,898 ",6.37%
78,Beauty & Health,China,3,12,6.89,3.4,2016,$75 ,$225 ,6.89%
79,Beauty & Health,Ghana,6,2,6.68,3.5,2025,$98 ,$588 ,6.68%
80,Beauty & Health,USA,8,2,4.49,3.9,2020,$72 ,$576 ,4.49%
81,Sports & Outdoors,South Africa,6,11,6.89,4.1,2017,$508 ,"$3,048 ",6.89%
82,Electronics,Nigeria,2,1,0.7,3.5,2015,$577 ,"$1,154 ",0.70%
83,Sports & Outdoors,India,7,10,8.6,1.9,2013,$353 ,"$2,471 ",8.60%
84,Sports & Outdoors,Ghana,2,2,7.78,4.5,2021,$811 ,"$1,622 ",7.78%
85,Electronics,USA,2,6,2.45,3.9,2011,"$1,678 ","$3,356 ",2.45%
86,Electronics,India,2,3,7.68,4,2019,"$1,986 ","$3,972 ",7.68%
87,Electronics,South Africa,1,10,0.13,5,2017,$611 ,$611 ,0.13%
88,Electronics,Nigeria,1,5,2.17,4.2,2010,"$1,112 ","$1,112 ",2.17%
89,Beauty & Health,France,7,1,0.65,4.3,2018,$43 ,$301 ,0.65%
90,Home & Kitchen,South Africa,5,8,7.8,4.8,2024,$362 ,"$1,810 ",7.80%
91,Home & Kitchen,Brazil,3,13,7.56,1.6,2017,$167 ,$501 ,7.56%
92,Electronics,UK,1,4,8.14,3,2012,"$1,974 ","$1,974 ",8.14%
93,Home & Kitchen,China,10,9,0.04,3.3,2019,$466 ,"$4,660 ",0.04%
